Movie Name,IMDb Rating,Year,Certificates,Genre,Director,Star Cast
The Killing of a Sacred Deer,7,2017,R,Drama,Yorgos Lanthimos,Barry G. BernsonHerb CaillouetBill Camp
Talk to Me,7.1,2022,R,Horror,Danny Philippou,Ari McCarthyHamish PhillipsKit Erhart-Bruce
Hereditary,7.3,2018,R,Drama,Ari Aster,Toni ColletteMilly ShapiroGabriel Byrne
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson
Exhuma,7,2024,R,Horror,Jang Jae-hyun,Jang Jae-hyun
Shaitaan,6.7,2024,Not Rated,Drama,Vikas Bahl,Aamil Keeyan KhanKrishnadev Yagnik
28 Days Later,7.5,2002,R,Drama,Danny Boyle,Cillian MurphyNaomie HarrisChristopher Eccleston
Alien: Romulus,7.1,2024,R,Horror,Fede Alvarez,Fede AlvarezRodo SayaguesDan O'Bannon
Arcadian,5.5,2024,R,Action,Benjamin Brewer,Nicolas CageJaeden MartellMaxwell Jenkins
A Quiet Place: Day One,7.1,2024,R,Drama,Michael Sarnoski,Michael SarnoskiJohn KrasinskiBryan Woods
Barbarian,7,2022,R,Horror,Zach Cregger,Georgina CampbellBill SkarsgårdJustin Long
The Coffee Table,6.8,2022,16+,Comedy,Caye Casas,David ParejaEstefanía de los SantosJosep Maria Riera
Immaculate,5.8,2024,R,Horror,Michael Mohan,Sydney SweeneyÁlvaro MorteSimona Tabasco
Pearl,7,2022,R,Drama,Ti West,Ti WestMia Goth
The Invitation,5.3,2022,PG-13,Horror,Jessica M. Thompson,Nathalie EmmanuelThomas DohertySean Pertwee
The Watchers,7.1,2024,PG-13,Fantasy,Ishana Shyamalan,Dakota FanningGeorgina CampbellOlwen Fouéré
In a Violent Nature,5.7,2024,R,Drama,Chris Nash,Chris Nash
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward
Tarot,4.9,2024,PG-13,Horror,Spenser Cohen,Harriet SlaterAdain BradleyJacob Batalon
X,6.5,2022,R,Horror,Ti West,Mia GothJenna OrtegaBrittany Snow
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne
I Saw the TV Glow,6.9,2024,PG-13,Drama,Jane Schoenbrun,Justice SmithBrigette Lundy-PaineIan Foreman
Late Night with the Devil,7.1,2023,R,Horror,Cameron Cairnes,David DastmalchianLaura GordonIan Bliss
The Substance,8,2024,R,Drama,Coralie Fargeat,Margaret QualleyDemi MooreDennis Quaid
